href,时长,名称,BV号,播放量,弹幕数,up主
https://www.bilibili.com/video/BV1MA411p7NB,05:52,【亮记生物鉴定】网络热传生物鉴定23,BV1MA411p7NB,774.8万,1.7万,无穷小亮的科普日常
https://www.bilibili.com/video/BV1mA411T7i7,06:09,【亮记生物鉴定】网络热传生物鉴定24,BV1mA411T7i7,754.1万,2.1万,无穷小亮的科普日常
https://www.bilibili.com/video/BV11V411e7Ga,05:47,【亮记生物鉴定】网络热传生物鉴定25,BV11V411e7Ga,710.4万,2.6万,无穷小亮的科普日常
https://www.bilibili.com/video/BV1sU4y1x7wQ,08:38,把黑头粉刺挤爆放到显微镜下看，居然这么美丽！？@油兔不二字幕组,BV1sU4y1x7wQ,602.1万,3674,油兔不二字幕组
https://www.bilibili.com/video/BV1KX4y1K72A,05:40,【亮记生物鉴定】网络热传生物鉴定22,BV1KX4y1K72A,552.9万,1.0万,无穷小亮的科普日常
https://www.bilibili.com/video/BV1eV411B79r,10:25,感谢你抽烟：一场持续百年的医学骗局【人体简史】第四集,BV1eV411B79r,530.1万,1.3万,医学科普联盟
https://www.bilibili.com/video/BV1ti4y1c7nu,09:42,【医学博士】死亡前的征兆是什么？I 猝死前如何正确自救,BV1ti4y1c7nu,480.6万,2.4万,兔叭咯
https://www.bilibili.com/video/BV1jT4y1P7j7,06:33,害人多年!圆头无毒?三角头有毒?民间流传的辨认蛇有无毒的方法靠谱吗?,BV1jT4y1P7j7,382.4万,1.4万,世界记忆大师龙雅
https://www.bilibili.com/video/BV1xo4y1o71g,07:23,【人间冷暖】凌晨两点，急诊送来位同房出血快休克的姑娘……,BV1xo4y1o71g,375.5万,3.6万,六层楼先生
https://www.bilibili.com/video/BV1cA411M7uT,02:25,很多人都喜欢扣头皮上的颗粒，到底是啥东西？,BV1cA411M7uT,372.1万,5657,毛发医生李丙双
https://www.bilibili.com/video/BV1oK411g7Tt,01:17,杂质，永远的神！,BV1oK411g7Tt,362.8万,3434,笑看千秋万古愁
https://www.bilibili.com/video/BV16v411x77F,01:14,西瓜脑溢血了，立即上台儿手术！,BV16v411x77F,343.1万,2398,水果医生
https://www.bilibili.com/video/BV1by4y1e7qc,04:06,你不知道关于你自己的11个有趣事实。,BV1by4y1e7qc,335.8万,6526,地球常客★
